DNA_ID,PC1,PC2,PC3,PC4,PC5,PC6,TreeNo,spec
142-A,-13.48838453,-3.901896655,3.641492632,2.500405394,-0.040838936,0.12975338,QS-RP12,QS
164-A,-7.63567427,-2.050761891,1.07906096,1.872558756,-0.147628059,0.339700214,QS-K9,QS
183-A,-0.744778133,-0.487925806,-8.488575066,1.127777538,-5.1037387,-14.68981214,QA-Pr5,QA
215-A,-8.431936096,-0.500913737,-11.54222572,-2.553749446,-5.520024228,0.697084902,QA-M11,QA
44-A,20.63436735,-1.737158794,-2.265108001,7.559322252,0.479093507,0.700559007,QR-S2,QR
80-A,-9.68128899,-3.396039849,5.346520487,2.224635054,0.417626462,0.284581493,SH-QS12,QS
104-A,-5.624954741,-1.547011144,0.390431101,0.782914269,0.035047637,-0.264244235,QA-RP14,QA
125-A,-10.63155831,-1.955788692,-3.810640206,-0.171747414,-2.719626423,4.568930181,Arnold-QA1,QA
146-A,-3.12037425,-0.741657104,-1.072267009,0.035047257,-0.151619263,0.161254203,QS-K3,QS
166-A,-7.432967078,0.1482471,-11.89154448,-2.37638886,10.12712892,-1.352085275,QA-M7,QA
187-A,21.69291022,-1.907142898,-1.36873357,8.176417631,0.028539074,0.361474,QR-Pr12,QR
216-A,-7.98044868,0.051393074,-12.46146358,-1.479575505,-8.012787436,-21.21479307,QA-Pr14,QA
47-A,-7.302998165,-0.109079279,-13.21233643,-2.524093478,-4.047079301,5.956574927,QA-S15,QA
81-A,-11.78550491,-3.733215497,6.319262015,2.551627499,-0.594206871,0.45218879,SH-QS8,QS
105-A,-4.74114366,-1.111717302,0.55331501,0.481182196,0.110102238,-0.162355084,QA-RP15,QA
126-A,-8.964401295,0.504639335,-13.10461078,-1.936122938,5.784701617,0.210581528,Arnold-QA2,QA
147-A,21.76251659,-2.006798345,-1.751650299,8.653440115,1.021514729,0.716034281,QR-M3,QR
167-A,-9.12081072,-1.974119506,0.663090677,1.847180331,-0.016263385,-0.711482642,QS-K8,QS
190-A,-6.386409837,-0.312735673,-8.157215812,-1.539485005,-4.823638168,6.620607212,QA-PO8,QA
217-A,22.37592773,-2.003944438,-2.581493893,8.572743214,0.344203315,0.434074075,QR-M14,QR
48-A,22.17533986,-1.801637933,-1.568290523,8.323223263,-0.34983536,0.226958804,QR-PO9,QR
82-A,4.540473723,-2.236517045,2.868785371,-0.868424906,0.05890778,0.952524533,SH-QR27,QR
106-A,11.68974151,-1.983574462,2.558045297,-6.086590884,0.509759655,-0.708136773,QR-RP2,QR
127-A,1.978213462,-1.160323647,-4.165852621,-6.854409138,-2.34127796,4.428699377,Arnold-QA5,QA
148-A,-8.040063436,0.363755161,-15.35296334,-3.318401649,25.21434539,-2.115545768,QA-M1,QA
169-A,20.65351893,-1.6984585,-1.30752184,7.975787951,0.895425448,0.411051511,QR-M12,QR
192-A,22.53518124,-1.906877387,-2.259863628,8.68655943,0.91862581,0.039352006,QR-K8,QR
52-A,20.08626751,-1.575018173,-2.01970302,7.826291803,0.995036851,0.46291596,QR-S1,QR
84-A,-12.56181478,-4.715214822,8.92209869,3.900931926,0.746548808,0.615628167,SH-QS6,QS
