TreeNo,knn_gene_predictions,gene_cluster,gene_coordinates,gene_centroids,bkm_distance,knn_distance
QS-AL9,[-14.67097174  -5.25618885  10.2383143 ],1,"[-14.71770739, -4.714826001, 11.21394372]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.945883846029764,1.1167411152219915
QS-H10,[-14.67097174  -5.25618885  10.2383143 ],1,"[-2.270945013, -4.630465999, 10.64710962]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",10.122033227058399,12.422532167248761
QS-H11,[-5.52496342 -4.07039976  7.88280191],1,"[-2.365435542, -4.486596126, 9.816140611]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",9.627559341291395,3.727416582052536
QS-H13,[-3.75794308 -3.12006366  4.11851315],2,"[11.7231665, -2.273562167, 5.976236662]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.618551308848604,15.615135453632883
QS-H2,[-3.51760809 -2.38734869  2.55020365],2,"[1.18383654, -0.908871994, 1.264079069]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",15.315364163622075,5.0934851897757065
QS-H4,[-5.52496342 -4.07039976  7.88280191],1,"[-2.524637093, -3.966955097, 9.353825695]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",9.254109721999475,3.343137727147547
QS-H5,[-14.15589233  -4.29534918   7.165219  ],1,"[-4.20085427, -5.031808949, 11.54662332]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",9.15334801753548,10.90146135269465
QS-H8,[-14.15589233  -4.29534918   7.165219  ],1,"[-2.131488767, -4.887930415, 9.53623754]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",9.757371798800689,12.270255195019228
QS-H9,[-4.19327819 -4.12116427  7.26796852],1,"[-0.433134494, -4.353332267, 8.090811357]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",10.832654040747732,3.8561188938452253
QS-L10,[-14.67097174  -5.25618885  10.2383143 ],1,"[10.11882432, -2.320689434, 6.74286294]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",21.127331973819736,25.206533390524417
QS-L2,[-4.49874846 -3.97001549  7.47159842],1,"[8.153485627, -2.797756674, 6.981162475]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",19.1594070417263,12.715885562103871
QS-L4,[-4.49874846 -3.97001549  7.47159842],1,"[11.07666586, -2.365807609, 6.560363832]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",22.06923239550745,15.684303068593294
QS-L5,[-3.16706323 -4.02078     6.85676503],1,"[10.45908697, -2.437794368, 6.930318135]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",21.470958779957225,13.717989022758038
QS-L6,[ 5.97894508 -2.83499091  4.50125264],2,"[11.46508635, -2.250522879, 6.702428768]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",7.314346185397437,5.9400778803513035
QS-L8,[-3.75794308 -3.12006366  4.11851315],2,"[9.431954467, -2.568364316, 6.316319537]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",8.624752200090459,13.383128272718304
QS-L9,[-13.93016635  -4.40623701   6.88522904],1,"[10.6032644, -2.771147859, 6.416656372]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",21.5695703626818,24.5923220012368
QS-W1,[-5.52496342 -4.07039976  7.88280191],1,"[-16.69840711, -6.31722524, 13.32537518]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",10.084383609604982,12.629951398734834
QS-W2,[-14.67097174  -5.25618885  10.2383143 ],1,"[-17.81138985, -6.102750615, 13.23459581]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",10.643504108260492,4.422283983446981
QS-W4,[-12.13201695  -3.84285372   6.23061707],1,"[-10.22286907, -3.904929021, 6.74010497]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",1.4550885961395714,1.9769362368209256
QS-W5,[-12.17800741  -4.47976563   7.72190271],1,"[-13.91950119, -5.383929284, 11.3318966]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.783625066915005,4.108815931909028
QS-W6,[-12.17800741  -4.47976563   7.72190271],1,"[-16.95410369, -5.381248096, 12.20080574]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",9.181337707770663,6.609412882225819
QS-W7,[-3.16706323 -4.02078     6.85676503],2,"[-8.618720456, -2.671920145, 5.545769534]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",25.445115039006364,5.76703551203264
QA-RP1,[-13.15823191  -3.94323799   6.64182056],0,"[-12.29260604, -2.76921943, 0.686213126]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",11.436085549760532,6.131630097966129
QA-RP12,[-10.15258595  -1.8827399   -1.59065477],0,"[-2.042102406, -0.342480667, -0.065549391]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",10.028589583114162,8.395134798046517
QA-RP13,[-11.9196063   -2.83307601   2.17363399],0,"[-12.37426298, -2.501410266, 2.112610707]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",12.638920431909378,0.5660730597283568
QA-RP14,[-14.15589233  -4.29534918   7.165219  ],0,"[-5.624954741, -1.547011144, 0.390431101]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",9.502639914467512,11.235123909842848
QA-RP15,[-13.68983136  -3.67352205   5.31691953],0,"[-4.74114366, -1.111717302, 0.55331501]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",9.744832797606785,10.45627960583043
QA-RP2,[-10.15258595  -1.8827399   -1.59065477],0,"[-11.69708504, -2.834073774, 1.272640808]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",11.683059047377805,3.3895390697788463
QA-RP3,[-13.15823191  -3.94323799   6.64182056],0,"[-12.95729657, -2.78881943, 2.343682289]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",13.165162368804639,4.455002787700867
QA-RP7,[-11.69388032  -2.94396385   1.89364403],0,"[-10.5722765, -2.414886422, 0.417866532]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",10.378459387295358,1.9276507079473781
QR-RP10,[ 5.97894508 -2.83499091  4.50125264],2,"[0.880872932, -0.696483506, 0.718092969]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",15.645647291987792,6.69894399659352
