idx,SNMF_genetic_label,V1,V2,V3,V4,morphological_tree_number
106,QR_1_SH-QR21,9.9982E-05,0.162915,0.836885,9.9982E-05,SH-QR21
107,QR_3_QR-RP3,9.9982E-05,0.16413,0.83567,9.9982E-05,QR-RP3
108,QR_3_QR-RP7,9.9982E-05,0.196068,0.803732,9.9982E-05,QR-RP7
109,QS_13_QS-AL8,9.998E-05,0.9997,9.998E-05,9.998E-05,QS-AL8
110,QR_10_QR-Pr14,9.998E-05,9.998E-05,0.9997,9.998E-05,QR-Pr14
111,QR_3_QR-RP11,9.9991E-05,0.146633,0.850643,0.00262409,QR-RP11
112,QS_8_QS-H9,9.9982E-05,0.618728,0.381072,9.9982E-05,QS-H9
113,QS_7_QS-L9,9.9982E-05,0.300639,0.699161,9.9982E-05,QS-L9
114,QS_1_SH-QS27,0.168129,0.825945,0.00582533,9.9991E-05,SH-QS27
115,QR_2_T-QR16,0.0556025,0.0302022,0.893367,0.0208282,T-QR16
116,QS_4_QS-K1,0.526552,0.473248,9.9982E-05,9.9982E-05,QS-K1
117,QS_13_QS-AL7,0.0161563,0.982031,9.9991E-05,0.0017124,QS-AL7
118,QA_ex_QAC-G-0030-A,0.634351,0.154843,0.171666,0.0391395,QAC-G-0030-A
119,psQA_12_QA-AL1,0.22588,0.77392,9.9982E-05,9.9982E-05,QA-AL1
120,QA_6_QA-S1,0.486358,0.0709383,0.206314,0.23639,QA-S1
121,QS_11_QS-W1,9.998E-05,0.9997,9.998E-05,9.998E-05,QS-W1
122,QR_1_SH-QR25,9.9982E-05,0.196218,0.803582,9.9982E-05,SH-QR25
123,psQA_3_QA-RP1,0.442497,0.549499,9.9991E-05,0.00790492,QA-RP1
124,QS_4_QS-K10,0.47368,0.522482,9.9991E-05,0.00373733,QS-K10
125,psQA_12_QA-AL4,0.303698,0.67431,9.9991E-05,0.0218922,QA-AL4-ind1
126,QA_ex_MBG-QA1,0.625384,0.36789,9.9991E-05,0.00662593,MBG-QA1
127,QS_3_QS-RP3,0.4765,0.5233,9.9982E-05,9.9982E-05,QS-RP3
128,QS_8_QS-H4,9.9982E-05,0.696209,0.303591,9.9982E-05,QS-H4
129,QS_7_QS-L2,9.9982E-05,0.362585,0.637215,9.9982E-05,QS-L2
130,QR_1_SH-QR24,9.9991E-05,0.327714,0.669191,0.00299501,SH-QR24
131,QR_2_T-QR23,9.9982E-05,0.0440812,0.955719,9.9982E-05,T-QR23
132,QS_4_QS-K2,0.501226,0.458398,0.0230914,0.0172841,QS-K2
133,psQA_12_QA-AL3,0.0933706,0.906429,9.9982E-05,9.9982E-05,QA-AL3
134,QB_14_TX-QB3,0.115089,0.0835866,0.0886617,0.712663,TX-QB3
135,QR_10_QR-Pr15,0.0567721,9.9982E-05,0.943028,9.9982E-05,QR-Pr15
136,QS_8_QS-H5,9.9982E-05,0.761338,0.238462,9.9982E-05,QS-H5
137,QA_6_QA-S14,0.976992,0.00693712,9.9991E-05,0.015971,QA-S14
138,QR_1_SH-QR5,9.9982E-05,0.155093,0.844707,9.9982E-05,SH-QR5
139,psQA_3_QA-RP3,0.311428,0.66198,9.9991E-05,0.0264921,QA-RP3
140,QS_4_QS-K6,0.521133,0.443452,0.0132877,0.0221268,QS-K6
141,QR_12_QR-AL3,9.9991E-05,0.259402,0.721511,0.0189872,QR-AL3
142,QR_2_T-QR15,9.9991E-05,0.0305743,0.96381,0.00551569,T-QR15
143,QS_1_SH-QS18,9.998E-05,0.9997,9.998E-05,9.998E-05,SH-QS18
144,QR_8_QS-H13,9.9982E-05,0.266393,0.733407,9.9982E-05,QS-H13
145,QR_6_QR-S5,9.998E-05,9.998E-05,0.9997,9.998E-05,QR-S5
146,QR_1_SH-QR6,9.9982E-05,0.198173,0.801627,9.9982E-05,SH-QR6
147,QR_2_T-QR8,9.9982E-05,0.0561502,0.94365,9.9982E-05,T-QR8
148,QR_5_QR-M15,0.00233321,9.9982E-05,0.997467,9.9982E-05,QR-M15
