gene_cluster,gene_centroids
0,"[-6.734983830851852, -0.017621014611111093, -8.922407703351851, -1.5074243161111112, -0.46181914551851866, -0.023288401666666667]"
1,"[-10.926670495606558, -3.6879836337213114, 5.485162312, 2.2286689217377047, 0.2638614608688525, -0.048514056180327864]"
2,"[16.470120757953126, -1.844546040984375, 1.384113856109375, -1.0326101157031249, 0.081187470125, 0.075068262828125]"
