TreeNo,bkm_distance,knn_distance
QA-M11,3.158585963063176,1.0680758822770262
QA-M5,7.998233587771295,4.999069740559982
QR-M1,4.615484258323471,18.18464701889609
QR-M14,29.85963564071659,31.467757917647788
QR-M15,30.341626233676912,31.990853779778337
QR-M3,6.1537627748958865,31.140968784144604
QR-M9,3.955276407326832,18.445821990277814
QA-S11,2.8119607643859745,1.06745541385265
QA-S14,3.447349998591282,0.539035642313327
QA-S15,4.328336098045507,5.245246631087605
QA-S6,0.844444767364162,2.818660152844307
QA-S9,28.689541390023052,11.712795369604278
QR-S2,5.537987167066542,19.83801988942863
QR-S3,6.142691819546881,19.453052877056685
QR-S4,6.850858977346166,20.755047566921043
QR-S5,6.482836754619434,21.43400779725171
QA-PO13,3.790070016456009,1.2710189325413068
QA-PO15,2.9813709387891474,2.499856783906628
QA-PO8,0.8911313715588985,3.871007162963696
QA-PO9,3.1006365817056265,1.725427240605821
QR-PO8,6.614733371117541,20.740092928211816
QA-Pr9,10.612689069107892,9.199194505331743
QA-AL2,5.44569504433513,9.875473906418796
QA-AL3,5.383567373502638,9.817929747797338
QA-AL5,0.7335741873011599,3.972693393892356
QA-AL6,16.741194600419334,10.194748332188032
QS-AL5,9.538474718540236,13.529739067138959
QS-AL6,7.095768260621507,10.781975593482166
QS-AL7,10.164460985574518,14.047992526397817
QS-AL8,13.378641786185053,16.94201164192583
QS-AL8,13.378641786185053,16.94201164192583
QS-AL9,6.945883846029764,10.633519436059965
QS-H10,10.122033227058399,7.2964272334212215
QS-H11,9.627559341291395,8.129717759849012
QS-H13,6.618551308848604,8.556585956491782
QS-H2,15.315364163622075,2.325671744631398
QS-H4,9.254109721999475,7.598624074039085
QS-H5,9.15334801753548,8.793648848407909
QS-H8,9.757371798800689,15.704099610863931
QS-H9,10.832654040747732,6.920849754688306
QS-L10,21.127331973819736,16.608562288606308
QS-L2,19.1594070417263,14.681330045811967
QS-L4,22.06923239550745,17.540760017929113
QS-L5,21.470958779957225,16.96497026087426
QS-L6,7.314346185397437,19.139481624471163
QS-L8,8.624752200090459,11.08162967909827
QS-L9,21.5695703626818,18.302131140264997
QS-W1,10.084383609604982,13.77650559132575
QS-W2,10.643504108260492,14.526906127875161
QS-W4,1.4550885961395714,7.524292966538989
QS-W5,6.783625066915005,10.24054131948129
QS-W6,9.181337707770663,13.053178994096069
QS-W7,25.445115039006364,8.144761109919312
QA-RP1,11.436085549760532,7.954392750435771
QA-RP12,10.028589583114162,13.00003407859998
QA-RP13,12.638920431909378,10.833959084774403
QA-RP14,9.502639914467512,5.700497610348842
QA-RP15,9.744832797606785,9.627022558307269
QA-RP2,11.683059047377805,14.004137915212276
QA-RP3,13.165162368804639,7.468079758413796
QA-RP7,10.378459387295358,10.170231772282136
QR-RP10,15.645647291987792,4.230334506427387
QR-RP11,2.6091104232970825,13.369314832004067
QR-RP12,23.877635990033717,19.244951446937463
QR-RP2,4.924375055174264,12.205930628827787
QR-RP3,3.4475474242377646,10.842988666768749
QR-RP3,3.4475474242377646,10.842988666768749
QR-RP5,6.023875421814353,5.53051038836853
QR-RP6,1.477053191661882,24.034327858686158
QR-RP7,4.411270695095119,9.808481931266037
QR-RP9,3.2149709127852395,4.839509204344521
QS-RP1,24.18856680356373,19.570715738631716
QS-RP10,3.064948637693738,5.007653556074034
QS-RP12,3.163424641686949,7.29795607609431
QS-RP14,5.991403876633089,5.196780279335563
QS-RP15,6.062449059754269,6.214296285798241
QS-RP3,6.664425274682865,7.970969061778696
QS-RP7,4.395647026868792,4.3857784635895785
QS-RP8,5.131600020362189,4.943880415287263
SH-QR21,2.3268498572067915,21.263852134442832
SH-QR24,8.877644200488579,5.785129338716297
SH-QR25,4.1247817357596235,9.93476817425401
SH-QR27,15.753879961290332,10.366083002466674
SH-QR5,26.292663051181126,21.69907026888574
SH-QR6,4.420112783514525,21.24931372888879
SH-QR7,4.278760715021087,9.826616870627252
SH-QR9,22.73105615048192,18.132189888352613
SH-QS1,2.219513952287979,2.4856911419731182
SH-QS12,1.2866343006400809,3.369031750122259
SH-QS15,4.227215297601097,2.4348067286406434
SH-QS18,6.302353934654527,10.246501610755743
SH-QS18,6.302353934654527,10.246501610755743
SH-QS2,3.075971668091272,1.4805501771424892
SH-QS21,1.5202037024398525,3.1800295066441495
SH-QS27,2.7388537969615245,7.233126527724222
SH-QS30,12.42005340698891,7.902282259449038
SH-QS6,3.9422623468481586,7.617955464277718
SH-QS6,3.9422623468481586,7.617955464277718
SH-QS8,1.1980671046927531,8.608048929603475
T-QR15,3.0719907399263158,15.936501240176366
T-QR16,2.688268430830513,15.509174519087475
T-QR23,2.2769428495822837,15.170790312598074
T-QR5,1.8657205569680453,14.720305646515872
T-QR6,6.74599640691195,16.517283299100388
T-QR8,29.936894568776875,25.302377253594898
QA-K3,8.497505348992641,6.921390419253148
QR-K8,7.075833219648332,20.40177281907013
QS-K1,28.243205751616355,16.12166953320225
QS-K10,5.380861824025978,7.253629907701327
QS-K2,6.096065350776005,5.36497573390295
QS-K3,8.672620111698802,11.665092314763637
QS-K6,7.798630990562918,8.195873834446411
QS-K7,8.836701163775619,5.52812752871377
QS-K8,5.4268623191044085,3.5659912925455792
QS-K9,5.7380205921460625,4.202620079589721
